year,month,avgTa,maxTa,minTa,sumRn,avgWs,avgRhm,sumSsHr,avgPs,fp_patients
2002,3,7.6,19.4,-2.9,31.5,2.1,55.0,128.6,1016.8,99
2002,4,13.6,27.7,4.3,155.1,2.3,53.0,172.4,1014.5,36
2002,5,18.2,27.7,10.0,58.0,2.3,62.0,175.0,1011.7,13
2002,6,22.2,32.0,14.5,61.4,2.0,62.0,162.9,1007.6,49
2002,7,25.2,34.8,18.9,220.6,2.1,74.0,84.1,1004.5,17
2003,3,6.5,20.9,-5.0,26.8,2.3,58.0,104.3,1021.1,1552
2003,5,19.6,30.4,8.5,106.0,1.8,57.0,170.7,1012.4,297
2003,6,21.5,31.1,14.4,156.0,2.0,69.0,101.8,1006.1,177
2003,7,23.8,31.4,18.3,469.8,1.8,75.0,86.6,1006.7,46
2003,8,24.1,32.2,16.6,684.2,1.4,77.0,83.0,1008.7,7
2003,9,20.9,28.7,13.8,258.2,1.1,72.0,100.4,1013.8,233
2003,10,13.9,26.0,2.7,41.5,2.0,61.0,195.7,1018.4,25
2003,11,9.5,21.3,-3.2,69.3,2.0,66.0,114.0,1022.9,176
2004,3,6.3,18.7,-5.6,27.6,2.7,49.0,221.6,1020.0,41
2004,4,13.1,27.3,2.7,74.1,2.7,51.0,210.3,1013.8,195
2004,5,17.6,27.6,8.8,168.5,2.6,68.0,166.9,1009.4,164
2004,6,23.2,32.5,14.6,138.1,2.1,64.0,151.5,1009.6,728
2004,7,24.8,34.5,19.5,510.7,2.3,82.0,85.4,1006.9,16
2004,8,26.1,36.2,18.7,193.3,2.4,70.0,147.8,1007.9,25
2004,9,21.7,31.3,12.8,198.7,2.2,69.0,168.2,1014.7,13
2004,10,15.2,25.6,5.3,6.5,2.0,54.0,252.6,1021.0,5
2005,1,-2.5,7.3,-11.0,4.5,2.4,52.0,191.5,1023.2,2
2005,3,4.1,17.6,-6.5,12.5,2.9,54.0,221.9,1019.6,14
2005,4,13.2,29.8,4.1,94.7,3.0,53.0,199.5,1014.0,72
2005,5,17.7,30.2,6.3,85.8,2.4,55.0,235.3,1010.4,40
2005,6,22.7,32.0,15.5,168.5,2.4,69.0,138.3,1005.7,51
2005,7,25.3,34.2,18.3,269.4,2.2,76.0,79.4,1006.2,45
2005,8,25.1,35.0,16.5,285.0,2.6,75.0,103.1,1008.5,4
2005,9,21.8,30.8,13.8,313.3,2.3,71.0,113.7,1015.2,145
2005,10,14.7,24.9,3.0,52.6,1.7,65.0,200.0,1020.0,4
2005,11,8.6,21.8,-1.1,44.6,2.2,55.0,172.5,1020.6,15
2005,12,-3.9,11.1,-14.0,10.3,2.5,51.0,204.1,1025.2,341
2006,1,-0.2,9.3,-10.1,34.3,2.1,57.0,161.1,1025.4,2
2006,2,0.1,11.5,-14.1,15.7,2.6,53.0,172.6,1025.9,13
2006,4,11.6,22.2,2.9,51.8,3.0,55.0,136.0,1011.0,2
2006,5,18.4,28.3,10.8,156.2,2.5,57.0,199.1,1012.1,390
2006,6,21.8,32.4,14.1,168.5,2.2,68.0,155.8,1007.1,1488
2006,7,23.1,30.1,17.5,1014.0,2.3,82.0,34.3,1006.1,80
2006,8,27.0,34.7,20.8,121.2,2.1,69.0,177.1,1008.4,183
2006,9,21.1,30.3,11.3,11.1,2.1,58.0,195.7,1014.8,173
2006,10,17.9,27.5,7.9,30.2,2.0,62.0,185.2,1018.8,36
2006,11,8.4,20.2,-1.3,47.6,2.4,58.0,153.5,1020.1,115
2006,12,1.4,12.6,-12.3,17.3,2.1,59.0,159.4,1026.7,77
2007,1,0.4,11.8,-7.6,10.8,2.0,56.0,181.9,1026.5,75
2007,2,4.0,14.8,-8.6,12.6,2.3,53.0,171.5,1021.3,19
2007,3,6.1,16.2,-7.6,123.5,2.7,60.0,147.1,1018.1,69
2007,4,11.4,22.5,1.6,41.1,2.8,53.0,191.8,1016.0,36
2007,5,18.1,30.1,9.0,137.6,2.6,62.0,197.3,1007.8,162
2007,6,23.2,33.2,14.1,54.5,2.3,61.0,175.2,1008.4,24
2007,7,24.2,31.2,17.7,274.1,2.4,75.0,91.5,1004.5,55
2007,8,26.5,33.2,19.8,237.6,2.6,75.0,105.7,1008.4,6
2007,9,21.5,31.1,14.1,241.9,2.5,74.0,85.1,1012.4,23
2007,10,15.1,26.2,3.2,39.5,2.1,63.0,170.9,1019.7,11
2007,11,6.7,19.3,-5.5,26.4,2.2,55.0,188.5,1023.8,15
2007,12,1.8,13.8,-7.4,12.7,2.4,60.0,140.8,1022.7,10
2008,1,-1.7,7.3,-11.1,17.7,2.3,50.0,166.5,1026.5,34
2008,2,-1.2,10.5,-10.1,15.0,2.7,46.0,224.2,1025.1,22
2008,3,7.3,19.8,-1.7,53.9,2.6,56.0,187.3,1018.4,28
2008,4,14.1,28.0,3.8,38.5,2.7,50.0,208.1,1015.2,17
2008,5,17.7,28.5,8.1,97.7,2.7,58.0,213.8,1010.2,15
2008,6,21.5,29.6,13.7,165.0,2.7,65.0,173.8,1009.1,58
2008,7,25.1,32.9,20.2,530.8,2.4,78.0,78.7,1007.0,45
2008,8,25.3,35.4,16.3,251.2,2.5,69.0,196.6,1007.5,16
2008,9,22.0,32.0,10.3,99.2,1.9,64.0,184.6,1013.3,35
2008,10,16.1,28.3,5.6,41.8,2.0,62.0,185.1,1018.7,20
2008,11,7.6,18.4,-7.2,19.6,2.2,58.0,169.7,1022.1,50
2008,12,1.1,13.3,-13.1,25.9,2.5,56.0,157.0,1023.6,12
2009,1,-2.0,12.2,-11.4,5.7,2.5,50.0,210.6,1025.5,19
